Characters ID,Characters,E0,E1,E2,E3,E4,E5,E6,
1218,Jiaoqiu,4.5,5.5,5.5,5.5,5.5,5.5,8.5,E1 + 0.5 | E2 - 0.5 | E6 - 0.5
1224,March Hunth,1.5,1.5,1.5,1.5,1.5,1.5,1.5,
1106,Pela,3.5,4,4,4,4,4,4,E1 + 0.5
1309,Robin,4.5,9.5,11,11,11,11,15,E0 - 0.5 | E1 + 0.5 | E2 + 0.5 | E6 + 2
1303,Ruan Mei,3,5.5,5.5,5.5,5.5,5.5,8.5,E1 - 1.5 | E6 + 2
1313,Saturday,5,9,9.5,9.5,10,10,11,E1 + 1.5 | E4 - 1 | E6 - 0.5
1006,Silver Wolf,2.5,3,3,3,3,3,4,
1306,Sparkle,2.5,3,7,7,7,7,8,
1202,Tingyun,3,3,3,3,3,3,3.5,
1112,Topaz,1.5,2.5,2.5,2.5,3,3,4,
1403,3B,10.5,14.5,14.5,15,17,17.5,20.5,
1207,Yukong,0.5,0.5,0.5,0.5,0.5,0.5,2,
,,,,,,,,,
Lightcones ID,Lightcones,S1,S2,S3,S4,S5,,,
23204,Acheron,2,2,3,3.5,4,,,
23036,Aglaea,1,1,2,2.5,3,,,
23037,Big Herta,1.5,1.5,2,2,2.5,,,
23022,Black Swan,0.5,0.5,1,1,1.5,,,
23009,Blade,0.5,0.5,1,1,1.5,S1 - 0.5,,
23027,Boothill,1.5,1.5,2,2,2.5,S1 - 0.5,,
23040,Castorice,3,3,4,4.5,5,,,
23002,Clara,0,0,0.5,0.5,1,,,
23020,Dr Ratio,3,3,4,4.5,5,,,
23031,Feixiao,3,3,4,4.5,5,,,
23000,Himeko,0.5,0.5,1,1,1.5,,,
23015,Imibitor,0.5,0.5,1,1,1.5,,,
23028,Jade,1,1,2,2.5,3,,,
23010,Jing Yuan,0.5,0.5,1,1,1.5,,,
23014,Jingliu,1.5,1.5,2.5,3,3.5,,,
23006,Kafka,0.5,0.5,1,1,1.5,,,
23039,My Day,3,3,3.5,3.5,4,,,
23033,Rappa,2.5,2.5,3,3,3.5,,,
23025,Samfly,1,1,1.5,1.5,2,,,
23001,Seele,1.5,1.5,2,2,2.5,,,
23012,Yanqing,0,0,0.5,0.5,1,,,
23030,Yunli,2,2,3,3.5,4,,,
23023,Aventurine,0.5,0.5,1,1,1.5,,,
23013,Bailu,0,0,0,0,0,,,
23011,Fuxuan,0.5,0.5,0.5,0.5,0.5,,,
23005,Gepard,0,0,0,0,0,,,
23017,Huo Huo,0.5,0.5,0.5,0.5,0.5,,,
23032,Lingsha,0.5,0.5,1,1,1.5,,,
23008,Luofraud,1,1,1,1,1,S1 + 0.5,,
23018,Argenti,0.5,0.5,1,1,1.5,,,
23003,Bronya,0.5,0.5,1,1,1.5,,,
23035,Fugue,1,1,1.5,1.5,2,,,
23029,Jiaoqiu,1,1,1.5,1.5,2,,,
23026,Robin,1,1,2,2.5,3,,,
23019,Ruan Mei,1,1,2,2.5,3,,,
23034,Saturday,2,2,2.5,2.5,3,,,
23007,Silver Wolf,0,0,0.5,0.5,1,,,
23021,Sparkle,1,1,1.5,1.5,2,,,
23016,Topaz,1,1,2,2.5,3,,,
23038,3B,2,2,2.5,2.5,3,S1 + 0.5,,
,,,,,,,,,
21018,DDD,1,1,1,1,1,,,
STOP,,,,,,,,,
,,,,,,,,,
,Cycle Avg(+- 1.5 leeway),Side 1 teams,Side 2 teams,,,,,,
,0,30,27,,,,,,
,1,26.5,23.5,,,,,,
,2,23,20,,,,,,
,3,19.5,16.5,,,,,,
,4,16,13,,,,,,
,5,die,die,,,,,,
